time,temp_avg,p_total
18147600.0,293.85591488707325,5349.3735
18151200.0,293.775100746432,2550.4443
18154800.0,295.0569810350623,2794.2976
18158400.0,293.6557849720522,0.0
18162000.0,293.5553811598393,2884.9158
18165600.0,293.49224449400606,2982.8313
18169200.0,293.72738289108287,2913.0757
18172800.0,293.8809830850784,1652.6102
18176400.0,294.09213524711765,748.37024
18180000.0,294.12921655882656,140.82544
18183600.0,294.2323161515308,45.054993
18187200.0,294.4653985345293,130.6879
18190800.0,294.5973181355428,-71.60689
18194400.0,295.05474437917,-29.746788
18198000.0,295.2529901556653,-113.79143
18201600.0,295.43724384165745,-63.21789
18205200.0,295.42834352216533,0.0
18208800.0,294.9336175320908,0.0
18212400.0,294.5150927301164,114.92389
18216000.0,295.38912368699164,521.3019
18219600.0,295.2667225359436,32.050922
18223200.0,295.0965118730807,123.67083
18226800.0,294.93997929008685,301.62933
18230400.0,294.78153080133626,561.8072
18234000.0,294.76148631244195,946.007
18237600.0,294.6561667483435,789.6804
18241200.0,294.5491860448884,944.82404
18244800.0,294.40673375063926,1102.3431
18248400.0,294.3122805023186,1278.2849
18252000.0,294.2142200742184,1291.1556
18255600.0,293.8826711375163,1252.7351
18259200.0,293.97557469107244,1409.7235
18262800.0,294.28647395089416,745.1321
18266400.0,294.4541158264161,382.5813
18270000.0,294.6594460433501,308.44653
18273600.0,294.8406117621747,259.43335
18277200.0,294.88662828655475,280.0681
18280800.0,295.23690078797114,343.54834
18284400.0,295.3175143760228,329.76324
18288000.0,295.3657456515665,403.44934
18291600.0,295.30142453007994,502.27155
18295200.0,294.986800162021,683.624
18298800.0,294.5822771777792,1048.5444
18302400.0,295.0184305928255,1678.2418
18306000.0,294.81065379989894,1405.8748
18309600.0,294.7150467178284,1774.5521
18313200.0,294.69324952887234,1881.0657
18316800.0,294.5576055717619,1812.5546
