time,temp_avg,p_total
18147600.0,294.5154379509039,0.0
18151200.0,302.2777765562507,117.63757622455412
18154800.0,293.96991003895596,15000.0
18158400.0,293.38389896759253,-15000.0
18162000.0,292.94577193600315,-15000.0
18165600.0,292.51042860459484,-15000.0
18169200.0,292.0945294993931,-15000.0
18172800.0,291.8843280446831,-15000.0
18176400.0,293.57900260018164,-15000.0
18180000.0,294.42874126381287,-15000.0
18183600.0,295.51496922849003,0.0
18187200.0,295.49657572985024,0.0
18190800.0,295.0297681810589,0.0
18194400.0,294.44277634009575,0.0
18198000.0,296.20850427177885,40.423680541051574
18201600.0,294.08005566413465,0.0
18205200.0,293.7812415138261,-15000.0
18208800.0,293.40927558545695,-15000.0
18212400.0,291.53404433557637,-15000.0
18216000.0,290.9435324865261,-15000.0
18219600.0,290.3458963549946,-15000.0
18223200.0,289.7256083778094,-15000.0
18226800.0,289.0832760599306,-15000.0
18230400.0,288.4916415635564,-15000.0
18234000.0,288.1333130376844,-15000.0
18237600.0,288.13696704914724,-15000.0
18241200.0,288.1405439524329,-15000.0
18244800.0,288.14242936896017,-15000.0
18248400.0,288.1437332408978,-15000.0
18252000.0,288.1445927313272,-15000.0
18255600.0,288.1450679786827,-15000.0
18259200.0,288.1471898132338,-15000.0
18262800.0,288.15626189163555,-15000.0
18266400.0,288.15710747139224,-15000.0
18270000.0,288.15945988576055,-15000.0
18273600.0,288.17575615915035,-15000.0
18277200.0,289.0615541252979,-15000.0
18280800.0,290.5212576581404,-15000.0
18284400.0,290.70558370356224,-15000.0
18288000.0,290.113231792974,-15000.0
18291600.0,289.3461855007505,-15000.0
18295200.0,288.53592869637714,-15000.0
18298800.0,288.1354236661346,-15000.0
18302400.0,288.14060883420814,-15000.0
18306000.0,288.1473264571425,-15000.0
18309600.0,288.14811706863037,-15000.0
18313200.0,288.1484574347378,-15000.0
18316800.0,288.1432955375864,-15000.0
