time,temp_avg,p_total
18147600.0,298.6805617207022,1780.2738472119802
18151200.0,297.100738335402,-3558.6068857642695
18154800.0,296.84010010525543,-287.9514914729854
18158400.0,296.685138274537,-30.93276574234782
18162000.0,297.8858393078928,0.0
18165600.0,296.6424036350553,-1517.8811006225733
18169200.0,296.5984670432116,0.0
18172800.0,296.63671289645094,-63.57731394064542
18176400.0,297.30860581178086,-338.1305653724171
18180000.0,297.67498107692666,-1861.1571841457699
18183600.0,297.91126474778486,-3196.853624601435
18187200.0,298.08117926068496,-4172.6393296592105
18190800.0,298.1387975950002,-4674.429542795891
18194400.0,298.5014804402168,-4656.937232127592
18198000.0,298.61094856702215,-5356.375873237159
18201600.0,298.581121200904,-5517.736800876726
18205200.0,298.4562713395821,-5120.759069020307
18208800.0,298.16688290840546,-4635.569801362319
18212400.0,297.7913300967547,-3781.8879064474877
18216000.0,297.538167996835,-2640.37662979223
18219600.0,297.43503202750884,-1918.6508048393694
18223200.0,297.2875892108127,-1543.0551389206164
18226800.0,297.1405891997258,-1170.3949785729997
18230400.0,296.97476098056586,-724.6622827709687
18234000.0,296.8088870745116,-378.1696649317422
18237600.0,296.6858650304986,-94.11584464048842
18241200.0,296.55478333451083,-54.25577032850569
18244800.0,297.80105366153924,0.0
18248400.0,297.88343562667274,-1914.026349113541
18252000.0,297.9587620550004,-1904.9776061855137
18255600.0,296.5906297999607,-2524.183690721422
18259200.0,296.69322301338957,-303.5016107618259
18262800.0,297.4386370362059,-770.8230986715523
18266400.0,297.80350299391824,-2726.913943537531
18270000.0,298.02050164636063,-3928.8773208108523
18273600.0,298.19451334505965,-4666.285858042927
18277200.0,298.2993812386556,-5239.289202715499
18280800.0,298.663242139872,-5414.969142562603
18284400.0,298.6926579279886,-5950.965676119259
18288000.0,298.56650901012864,-5463.026269499265
18291600.0,298.3612685049931,-5083.394846729311
18295200.0,298.07825254378594,-4145.115028487878
18298800.0,297.71919010499676,-3360.8062478002807
18302400.0,297.46347874449765,-2332.4217306996557
18306000.0,297.3639530817881,-1678.7972321188863
18309600.0,297.2094690929615,-1338.6199142742657
18313200.0,297.062457449748,-957.0826349096163
18316800.0,296.90822761926717,-597.1830117841694
